Sample ID,Station,Collection Date,Sampling Code,Sample Event,Grab,Core,Year,Month,Season,Months_Since_Hurricane,Latitude_DD,Longitude_DD,Latitude_DMS,Longitude_DMS,Depth_m,max_temp_C,min_temp_C,mean_temp_C,max_temp_F,min_temp_F,mean_temp_F,max_salinity_ppt,min_salinity_ppt,mean_salinity_ppt,max_DO_mg/L,min_DO_mg/L,mean_DO_mg/L,max_chlorophyll_ug/L,min_chlorophyll_ug/L,mean_chlorophyll_ug/L,Water Loss,Mud Disturbance,Mud Amount,Mud Loss,Preservation,Core Quality,Status
TB2B-18.6-17,TB2B,6/14/2018,18.6,18.06.1,2,17,2018,June,Summer,Pre, 29.178333°,-90.540500°,29° 10.700' N, 90° 32.430' W,3.1,32.04,27.72,29.74,89.7,81.92,85.54,24.3,9.71,18.85,8.45,3.89,6.2,33.9,3.86,11.44,None,None,5cm,0cm,Preserved,10,Completed
TB2B-18.6-21,TB2B,6/14/2018,18.6,18.06.1,2,21,2018,June,Summer,Pre, 29.178333°,-90.540500°,29° 10.700' N, 90° 32.430' W,3.1,32.04,27.72,29.74,89.7,81.92,85.54,24.3,9.71,18.85,8.45,3.89,6.2,33.9,3.86,11.44,None,None,5cm,0cm,Preserved,10,Completed
TB2B-18.6-34,TB2B,6/14/2018,18.6,18.06.1,2,34,2018,June,Summer,Pre, 29.178333°,-90.540500°,29° 10.700' N, 90° 32.430' W,3.1,32.04,27.72,29.74,89.7,81.92,85.54,24.3,9.71,18.85,8.45,3.89,6.2,33.9,3.86,11.44,None,None,5cm,0cm,Preserved,10,Completed
TB2B-18.6-33,TB2B,6/14/2018,18.6,18.06.1,2,33,2018,June,Summer,Pre, 29.178333°,-90.540500°,29° 10.700' N, 90° 32.430' W,3.1,32.04,27.72,29.74,89.7,81.92,85.54,24.3,9.71,18.85,8.45,3.89,6.2,33.9,3.86,11.44,None,None,5cm,0cm,Preserved,10,Completed
TB2B-18.6-37,TB2B,6/14/2018,18.6,18.06.1,3,37,2018,June,Summer,Pre, 29.178333°,-90.540500°,29° 10.700' N, 90° 32.430' W,3.1,32.04,27.72,29.74,89.7,81.92,85.54,24.3,9.71,18.85,8.45,3.89,6.2,33.9,3.86,11.44,None,None,5cm,0cm,Preserved,10,Completed
TB2B-18.6-38,TB2B,6/14/2018,18.6,18.06.1,3,38,2018,June,Summer,Pre, 29.178333°,-90.540500°,29° 10.700' N, 90° 32.430' W,3.1,32.04,27.72,29.74,89.7,81.92,85.54,24.3,9.71,18.85,8.45,3.89,6.2,33.9,3.86,11.44,None,None,5cm,0cm,Preserved,10,Completed
TB2B-18.6-27,TB2B,6/14/2018,18.6,18.06.1,4,27,2018,June,Summer,Pre, 29.178333°,-90.540500°,29° 10.700' N, 90° 32.430' W,3.1,32.04,27.72,29.74,89.7,81.92,85.54,24.3,9.71,18.85,8.45,3.89,6.2,33.9,3.86,11.44,None,None,5cm,0cm,Preserved,10,Completed
TB2B-18.6-25,TB2B,6/14/2018,18.6,18.06.1,4,25,2018,June,Summer,Pre, 29.178333°,-90.540500°,29° 10.700' N, 90° 32.430' W,3.1,32.04,27.72,29.74,89.7,81.92,85.54,24.3,9.71,18.85,8.45,3.89,6.2,33.9,3.86,11.44,None,None,5cm,0cm,Preserved,10,Completed
TB2B-18.6-42,TB2B,6/14/2018,18.6,18.06.1,4,42,2018,June,Summer,Pre, 29.178333°,-90.540500°,29° 10.700' N, 90° 32.430' W,3.1,32.04,27.72,29.74,89.7,81.92,85.54,24.3,9.71,18.85,8.45,3.89,6.2,33.9,3.86,11.44,None,None,5cm,0cm,Preserved,10,Completed
TB2B-18.6-41,TB2B,6/14/2018,18.6,18.06.1,5,41,2018,June,Summer,Pre, 29.178333°,-90.540500°,29° 10.700' N, 90° 32.430' W,3.1,32.04,27.72,29.74,89.7,81.92,85.54,24.3,9.71,18.85,8.45,3.89,6.2,33.9,3.86,11.44,None,None,5cm,0cm,Preserved,10,Completed
TB2B-18.6-18,TB2B,6/14/2018,18.6,18.06.1,5,18,2018,June,Summer,Pre, 29.178333°,-90.540500°,29° 10.700' N, 90° 32.430' W,3.1,32.04,27.72,29.74,89.7,81.92,85.54,24.3,9.71,18.85,8.45,3.89,6.2,33.9,3.86,11.44,None,None,5cm,0cm,Preserved,10,Completed
TB2B-18.6-22,TB2B,6/14/2018,18.6,18.06.1,5,22,2018,June,Summer,Pre, 29.178333°,-90.540500°,29° 10.700' N, 90° 32.430' W,3.1,32.04,27.72,29.74,89.7,81.92,85.54,24.3,9.71,18.85,8.45,3.89,6.2,33.9,3.86,11.44,None,None,5cm,0cm,Preserved,10,Completed
TB2B-18.6-31,TB2B,6/14/2018,18.6,18.06.1,5,31,2018,June,Summer,Pre, 29.178333°,-90.540500°,29° 10.700' N, 90° 32.430' W,3.1,32.04,27.72,29.74,89.7,81.92,85.54,24.3,9.71,18.85,8.45,3.89,6.2,33.9,3.86,11.44,None,None,5cm,0cm,Preserved,10,Completed
TB2B-19.1-44,TB2B,1/18/2019,19.1,19.01.1,1,44,2019,January,Winter,Pre, 29.178333°,-90.540500°,29° 10.700' N, 90° 32.430' W,3.1,20.35,10.96,15.52,68.63,51.72,59.94,24.34,7.25,19.46,11.07,7.1,8.83,48.16,1.59,23.56,None,None,5cm,0cm,Preserved,10,Completed
TB2B-19.1-32,TB2B,1/18/2019,19.1,19.01.1,1,32,2019,January,Winter,Pre, 29.178333°,-90.540500°,29° 10.700' N, 90° 32.430' W,3.1,20.35,10.96,15.52,68.63,51.72,59.94,24.34,7.25,19.46,11.07,7.1,8.83,48.16,1.59,23.56,None,None,5cm,0cm,Preserved,10,Completed
TB2B-19.1-23,TB2B,1/18/2019,19.1,19.01.1,1,23,2019,January,Winter,Pre, 29.178333°,-90.540500°,29° 10.700' N, 90° 32.430' W,3.1,20.35,10.96,15.52,68.63,51.72,59.94,24.34,7.25,19.46,11.07,7.1,8.83,48.16,1.59,23.56,None,None,5cm,0cm,Preserved,10,Completed
TB2B-19.1-18,TB2B,1/18/2019,19.1,19.01.1,1,18,2019,January,Winter,Pre, 29.178333°,-90.540500°,29° 10.700' N, 90° 32.430' W,3.1,20.35,10.96,15.52,68.63,51.72,59.94,24.34,7.25,19.46,11.07,7.1,8.83,48.16,1.59,23.56,None,None,5cm,0cm,Preserved,10,Completed
TB2B-19.1-1,TB2B,1/18/2019,19.1,19.01.1,2,1,2019,January,Winter,Pre, 29.178333°,-90.540500°,29° 10.700' N, 90° 32.430' W,3.1,20.35,10.96,15.52,68.63,51.72,59.94,24.34,7.25,19.46,11.07,7.1,8.83,48.16,1.59,23.56,None,None,5cm,0cm,Preserved,10,Completed
TB2B-19.1-27,TB2B,1/18/2019,19.1,19.01.1,2,27,2019,January,Winter,Pre, 29.178333°,-90.540500°,29° 10.700' N, 90° 32.430' W,3.1,20.35,10.96,15.52,68.63,51.72,59.94,24.34,7.25,19.46,11.07,7.1,8.83,48.16,1.59,23.56,None,None,5cm,0cm,Preserved,10,Completed
TB2B-19.1-10,TB2B,1/18/2019,19.1,19.01.1,2,10,2019,January,Winter,Pre, 29.178333°,-90.540500°,29° 10.700' N, 90° 32.430' W,3.1,20.35,10.96,15.52,68.63,51.72,59.94,24.34,7.25,19.46,11.07,7.1,8.83,48.16,1.59,23.56,None,None,4cm,0cm,Preserved,9,Completed
TB2B-19.1-15,TB2B,1/18/2019,19.1,19.01.1,3,15,2019,January,Winter,Pre, 29.178333°,-90.540500°,29° 10.700' N, 90° 32.430' W,3.1,20.35,10.96,15.52,68.63,51.72,59.94,24.34,7.25,19.46,11.07,7.1,8.83,48.16,1.59,23.56,None,None,5cm,0cm,Preserved,10,Completed
TB2B-19.1-2,TB2B,1/18/2019,19.1,19.01.1,3,2,2019,January,Winter,Pre, 29.178333°,-90.540500°,29° 10.700' N, 90° 32.430' W,3.1,20.35,10.96,15.52,68.63,51.72,59.94,24.34,7.25,19.46,11.07,7.1,8.83,48.16,1.59,23.56,None,None,5cm,0cm,Preserved,10,Completed
TB2B-19.1-35,TB2B,1/18/2019,19.1,19.01.1,3,35,2019,January,Winter,Pre, 29.178333°,-90.540500°,29° 10.700' N, 90° 32.430' W,3.1,20.35,10.96,15.52,68.63,51.72,59.94,24.34,7.25,19.46,11.07,7.1,8.83,48.16,1.59,23.56,None,None,5cm,0cm,Preserved,10,Completed
TB2B-19.1-4,TB2B,1/18/2019,19.1,19.01.1,4,4,2019,January,Winter,Pre, 29.178333°,-90.540500°,29° 10.700' N, 90° 32.430' W,3.1,20.35,10.96,15.52,68.63,51.72,59.94,24.34,7.25,19.46,11.07,7.1,8.83,48.16,1.59,23.56,None,None,5cm,0cm,Preserved,10,Completed
TB2B-19.1-30,TB2B,1/18/2019,19.1,19.01.1,4,30,2019,January,Winter,Pre, 29.178333°,-90.540500°,29° 10.700' N, 90° 32.430' W,3.1,20.35,10.96,15.52,68.63,51.72,59.94,24.34,7.25,19.46,11.07,7.1,8.83,48.16,1.59,23.56,None,None,5cm,0cm,Preserved,10,Completed
TB2B-19.3-16,TB2B,3/22/2019,19.3,19.03.1,1,16,2019,March,Spring,Pre, 29.178333°,-90.540500°,29° 10.700' N, 90° 32.430' W,3.1,22.09,11.26,17.29,71.76,52.28,63.12,23.28,10.87,18.96,12.53,7.13,8.96,43.86,8.09,18.88,None,None,5cm,0cm,Preserved,10,Completed
TB2B-19.3-8,TB2B,3/22/2019,19.3,19.03.1,1,8,2019,March,Spring,Pre, 29.178333°,-90.540500°,29° 10.700' N, 90° 32.430' W,3.1,22.09,11.26,17.29,71.76,52.28,63.12,23.28,10.87,18.96,12.53,7.13,8.96,43.86,8.09,18.88,None,None,5cm,0cm,Preserved,10,Completed
TB2B-19.3-60,TB2B,3/22/2019,19.3,19.03.1,2,60,2019,March,Spring,Pre, 29.178333°,-90.540500°,29° 10.700' N, 90° 32.430' W,3.1,22.09,11.26,17.29,71.76,52.28,63.12,23.28,10.87,18.96,12.53,7.13,8.96,43.86,8.09,18.88,None,None,5cm,0cm,Preserved,10,Completed
TB2B-19.3-51,TB2B,3/22/2019,19.3,19.03.1,2,51,2019,March,Spring,Pre, 29.178333°,-90.540500°,29° 10.700' N, 90° 32.430' W,3.1,22.09,11.26,17.29,71.76,52.28,63.12,23.28,10.87,18.96,12.53,7.13,8.96,43.86,8.09,18.88,None,None,5cm,0cm,Preserved,10,Completed
